Gene,LogFC,P_value,P_adjusted
UBE2W,-0.0135595005860365,0.04444186518869996,0.18526145123816115
UBE2Z,-0.0033056599020855337,0.22579877017219632,0.46324953881846886
UBE3A,0.0028103659494065347,0.53815311415171,0.7405365966509999
UBE3B,-0.0017462385683661985,0.6914453269661047,0.8430993540299347
UBE3C,-0.005509802749184445,0.33269545313168225,0.5744350383367404
UBE4A,0.010430814083406847,0.00907772173831098,0.0719109555514211
UBE4B,0.0068489087406415905,0.14170065314978222,0.3576845262595745
UBFD1,-0.003270206697430833,0.48242608205698856,0.6983820717046307
UBIAD1,0.01251698353716213,0.003769118687397556,0.044289002581189355
UBL3,0.01069034559114801,0.0637673883987004,0.23006776670092435
