Gene,LogFC,P_value,P_adjusted
ABHD13,-0.004653171757532437,0.6228043568421842,0.9159755234484528
ABHD14A,0.01641979384118608,0.40391409027153813,0.8628582484319791
ABHD14B,0.003085683121798688,0.887243215463188,0.9751558344942269
ABHD15,0.04066622968321987,0.09197015726269636,0.8619564607543061
ABHD1,0.07129155191223102,0.2979626905413415,0.8619564607543061
ABHD2,0.0004937038103349778,0.9892114658372749,0.9976614355085441
ABHD3,0.01862482146070521,0.5367667503511367,0.8959309135915599
ABHD4,0.02705507195319834,0.2704906387145093,0.8619564607543061
ABHD5,-0.009868831104881348,0.6610086994695147,0.923613915945009
ABHD6,0.0003001958000306004,0.9895263991427443,0.9976615896816996
ABHD8,-0.01513628214738505,0.5647998824224678,0.9030542004413681
ABI1,-0.004170692369682705,0.7214170910212784,0.9359752273994697
ABI2,0.007761027426043121,0.6990844594440324,0.9319375825464896
ABI3BP,0.06009093794342535,0.48227511601791095,0.8800720003356629
ABI3,0.05794068452034207,0.3311455002835526,0.8619841669731307
ABL1,0.0006283509197877457,0.9553939431726033,0.9904341316639771
ABL2,-0.008491425305701572,0.5938367455006694,0.9083554009637492
ABLIM1,-0.019873775867040422,0.5363217518303833,0.8959309135915599
ABLIM2,-0.046484398828363194,0.4714040771524429,0.8762289994531777
ABLIM3,0.02925123775318328,0.6497689630169355,0.9213514490988209
ABO,0.27862497757688764,0.42224585959227534,0.8641205580830348
ABP1,0.5818389658648893,0.015986482530624856,0.8619564607543061
ABRA,0.09558803677628847,0.758704528385902,0.9437047623144014
ABR,0.01073105429528498,0.557370329903622,0.9008172439200764
ABT1,-0.01852383170723737,0.20786253437226682,0.8619564607543061
ABTB1,0.027212416737122602,0.4799559399713964,0.8787728096074233
ABTB2,0.0766497421359369,0.24719301086619994,0.8619564607543061
ACAA1,0.008159520866610759,0.7717839339964673,0.9468947438026769
ACAA2,-0.014440081011037442,0.6874422542982349,0.9298834676269808
ACACA,0.009337677626946483,0.6958465814802646,0.9305914141686407
ACACB,0.05253800330450087,0.4213509620135746,0.8641205580830348
ACAD10,-0.009936198755355452,0.6778523182207266,0.9269248184189846
ACAD11,-0.042973432278592405,0.20010955062122446,0.8619564607543061
ACAD8,-0.013232776105751132,0.7389450903143366,0.9398887487918901
ACAD9,-0.018012770423102342,0.1621928130643941,0.8619564607543061
ACADL,0.06727184125281926,0.5622428562539694,0.9022281736714626
ACADM,0.02705934756836159,0.35776840795041853,0.8627464734930657
ACADSB,-0.014734614385962796,0.6580823216066556,0.9232448878944209
ACADS,-0.023246731808625132,0.5692789745014173,0.904442568107699
ACADVL,0.01197644061994918,0.5822120321121618,0.9068300167151195
ACAN,0.38897304630532803,0.15942061623584708,0.8619564607543061
ACAP1,0.06777250747182917,0.4929990156492239,0.8837486898092615
ACAP2,-0.006219113263441489,0.7000280174376052,0.9323960774215415
ACAP3,-0.055992149940807145,0.06429134593758544,0.8619564607543061
ACAT1,-0.017205358680121297,0.2869536490750052,0.8619564607543061
ACAT2,-0.0052137380743628725,0.7881962937276781,0.9511326118034039
ACBD3,0.010032762793373617,0.6326624285756635,0.9178212371969402
ACBD4,-0.021055243080306596,0.5894198406476312,0.908011360457496
ACBD5,0.027970142372350626,0.09761288988292358,0.8619564607543061
ACBD6,-0.02204455104542591,0.5085648388233788,0.889539337961083
ACBD7,-0.04310892208762995,0.6337559619228141,0.9180599333188811
ACCN1,0.09463151777014,0.7266910020466237,0.9369962336112162
ACCN2,-0.07865295129561911,0.0145088837254874,0.8619564607543061
ACCN3,-0.19532343508810035,0.15388115680159023,0.8619564607543061
ACCN4,-0.16851730456187197,0.4122537051055082,0.8641205580830348
ACCS,0.06636991176144846,0.635357040710973,0.9182721587249816
ACD,-0.04520988278693672,0.1955763950948323,0.8619564607543061
