project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.creation_datetime	portions.is_ffpe	portions.portion_id	portions.portion_number	portions.state	portions.submitter_id	portions.weight
WCDT-MCRPC	4929ddd8-50da-444a-8689-bab89a18e7d8	DTB-266	3aaeb6af-b1bd-4f4a-a38a-a0fd80cd811b	DTB-266-BL	'--	'--	2fec391c-3a19-50b9-9374-610d235e4a7b	'--	'--	'--	'--
WCDT-MCRPC	4929ddd8-50da-444a-8689-bab89a18e7d8	DTB-266	3aaeb6af-b1bd-4f4a-a38a-a0fd80cd811b	DTB-266-BL	'--	'--	cfd09bb8-4418-5e9d-9d75-d891ba8f6cab	'--	'--	'--	'--
WCDT-MCRPC	4929ddd8-50da-444a-8689-bab89a18e7d8	DTB-266	ce6db023-62f6-44f4-b4bc-e46a433ab3c4	DTB-266-N	'--	'--	69f58835-e9bc-5406-812d-e0734ec8c974	'--	'--	'--	'--
WCDT-MCRPC	b2c85862-acff-4b0e-962f-9d1f898e06a8	DTB-089	27e342ea-fc32-437c-a834-494f8baaf700	DTB-089-BL	'--	'--	00919a2d-6820-59f3-a4ba-e52781a352f1	'--	'--	'--	'--
WCDT-MCRPC	b2c85862-acff-4b0e-962f-9d1f898e06a8	DTB-089	27e342ea-fc32-437c-a834-494f8baaf700	DTB-089-BL	'--	'--	2f6e090f-3fa4-5252-b6e3-dbfb95396c12	'--	'--	'--	'--
WCDT-MCRPC	b2c85862-acff-4b0e-962f-9d1f898e06a8	DTB-089	27e342ea-fc32-437c-a834-494f8baaf700	DTB-089-BL	'--	'--	be2bf8bd-ae9a-5cb2-9213-061e7e830c46	'--	'--	'--	'--
WCDT-MCRPC	b2c85862-acff-4b0e-962f-9d1f898e06a8	DTB-089	9cd90d87-4604-41da-9950-72af133da3b4	DTB-089-N	'--	'--	e01df5a5-8f1c-5988-b0ed-d3c558ec6acf	'--	'--	'--	'--
WCDT-MCRPC	dbfd7718-e200-4527-9cb2-afce87ee43a4	DTB-206	20fc2428-8bfb-4d2d-85ae-fe42caa1de5c	DTB-206-BL	'--	'--	a02c4743-9328-5bab-8081-7cb86ab3b2d6	'--	'--	'--	'--
WCDT-MCRPC	dbfd7718-e200-4527-9cb2-afce87ee43a4	DTB-206	20fc2428-8bfb-4d2d-85ae-fe42caa1de5c	DTB-206-BL	'--	'--	cbb6ed29-6e69-58d0-8748-6a077cc51415	'--	'--	'--	'--
WCDT-MCRPC	dbfd7718-e200-4527-9cb2-afce87ee43a4	DTB-206	20fc2428-8bfb-4d2d-85ae-fe42caa1de5c	DTB-206-BL	'--	'--	c0bfdbad-e891-5904-8c4a-14cf12395acb	'--	'--	'--	'--
WCDT-MCRPC	dbfd7718-e200-4527-9cb2-afce87ee43a4	DTB-206	95517629-9d59-4957-9025-5d050eb797b4	DTB-206-N	'--	'--	a2be1d32-c589-59e4-b25c-42232cdfff0e	'--	'--	'--	'--
WCDT-MCRPC	d613aec0-5fce-4d40-be14-dfcd4b1da0d7	DTB-261	4b6de7d5-ad36-4ec0-adce-0ac758876689	DTB-261-BL	'--	'--	7af89d53-2c57-5386-8e2c-0236edd70095	'--	'--	'--	'--
WCDT-MCRPC	d613aec0-5fce-4d40-be14-dfcd4b1da0d7	DTB-261	4b6de7d5-ad36-4ec0-adce-0ac758876689	DTB-261-BL	'--	'--	1ed6b222-a3b8-5e14-a713-f97368867314	'--	'--	'--	'--
WCDT-MCRPC	d613aec0-5fce-4d40-be14-dfcd4b1da0d7	DTB-261	4b6de7d5-ad36-4ec0-adce-0ac758876689	DTB-261-BL	'--	'--	94b8c76d-8fdd-58e2-8787-bdc3ff25e254	'--	'--	'--	'--
WCDT-MCRPC	d613aec0-5fce-4d40-be14-dfcd4b1da0d7	DTB-261	c1e5bdc9-9ba3-4fcf-bd4d-e9dfa88ef880	DTB-261-N	'--	'--	a181a777-b035-5d7e-a9c6-9cc64258ae4c	'--	'--	'--	'--
WCDT-MCRPC	8b94299e-7384-45ba-9532-8c545f9582d8	DTB-034	3858e68b-a356-4aa5-a9c7-df9418d6c514	DTB-034-BL	'--	'--	81b93184-852c-5f18-bdf9-9233648ba2e5	'--	'--	'--	'--
WCDT-MCRPC	8b94299e-7384-45ba-9532-8c545f9582d8	DTB-034	3858e68b-a356-4aa5-a9c7-df9418d6c514	DTB-034-BL	'--	'--	2f87146f-89ff-5131-b654-8c5d24c64fdf	'--	'--	'--	'--
WCDT-MCRPC	8b94299e-7384-45ba-9532-8c545f9582d8	DTB-034	3858e68b-a356-4aa5-a9c7-df9418d6c514	DTB-034-BL	'--	'--	848644ce-2ce0-575c-a022-2eba9f8f18fc	'--	'--	'--	'--
