project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.a260_a280_ratio	analytes.amount	analytes.analyte_id	analytes.analyte_quantity	analytes.analyte_type	analytes.analyte_type_id	analytes.analyte_volume	analytes.concentration	analytes.experimental_protocol_type	analytes.normal_tumor_genotype_snp_match	analytes.ribosomal_rna_28s_16s_ratio	analytes.rna_integrity_number	analytes.spectrophotometer_method	analytes.state	analytes.submitter_id	analytes.well_number
WCDT-MCRPC	15ed66a2-9320-4b95-80db-51320c6ed066	DTB-037	056a0e87-bcd9-41b5-babc-95075ad40962	DTB-037-N	eb0769aa-2801-5c0a-bda7-6845ef6d1ce4	'--	'--	'--	6ddf9204-f04a-543d-925c-bde28bbb6f04	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	15ed66a2-9320-4b95-80db-51320c6ed066	DTB-037	70c69a91-f907-4e4f-9147-f94ca79fe2b7	DTB-037-BL	00272a3a-9e3b-5433-b83f-15db3ff5742e	'--	'--	'--	c364665c-a25d-5f91-84fc-cdf7155f595c	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	15ed66a2-9320-4b95-80db-51320c6ed066	DTB-037	70c69a91-f907-4e4f-9147-f94ca79fe2b7	DTB-037-BL	59b9b3bc-9093-57da-8135-0d4c4a26dc1a	'--	'--	'--	5978de18-1c49-5a48-b6f1-202c82b82b24	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	15ed66a2-9320-4b95-80db-51320c6ed066	DTB-037	70c69a91-f907-4e4f-9147-f94ca79fe2b7	DTB-037-BL	e3056f5a-587b-5512-800d-9666dd7aaf54	'--	'--	'--	7b657502-b408-5019-8c5f-0c0d05fa4dbd	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	15ed66a2-9320-4b95-80db-51320c6ed066	DTB-037	d29d22fd-88ae-48ae-bef6-a88b00edc43a	DTB-037-TUMOR_ADJACENT-N	ead05813-3809-5024-97de-64f735332da9	'--	'--	'--	30201139-40cb-5288-b354-045d0a37a494	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	58ce6d65-57c9-48c5-8223-4cc1b990eaeb	DTB-077	6bf36d64-4e97-4dcc-98ab-278d8fd67d05	DTB-077-TUMOR_ADJACENT-N	25342fba-31bc-5c0e-824b-f875aee15794	'--	'--	'--	12a900b9-bf4f-5a5f-90bb-c0e0c0549100	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	58ce6d65-57c9-48c5-8223-4cc1b990eaeb	DTB-077	bd441bf6-a5cd-4238-860c-941801f22a26	DTB-077-PRO	00ab2c82-c478-52cb-8c5e-b0f24fb72860	'--	'--	'--	902d0769-bc20-54d2-b927-7116a436d027	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	58ce6d65-57c9-48c5-8223-4cc1b990eaeb	DTB-077	bd441bf6-a5cd-4238-860c-941801f22a26	DTB-077-PRO	59ea59fa-3680-5d12-9c56-930ffdf5ab3d	'--	'--	'--	2d491ce5-7ac5-5581-8353-d8484012bbf4	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	58ce6d65-57c9-48c5-8223-4cc1b990eaeb	DTB-077	bd441bf6-a5cd-4238-860c-941801f22a26	DTB-077-PRO	c61c2474-9ac7-56fe-8b08-23b7b0408eb7	'--	'--	'--	e0882fb2-be7e-5fd1-9897-963df9769ea5	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	58ce6d65-57c9-48c5-8223-4cc1b990eaeb	DTB-077	e34bc203-0a81-407e-812b-7be7b778de12	DTB-077-N	2733750d-49fd-59dd-8a06-7c4674b578f4	'--	'--	'--	3d5822c8-53bb-506a-8c30-01af0b755a2f	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
